Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,506,479,13,209,959.2846180574057,221,24
3600,3600,7199.9,1000,506,523,0,234,10606.446772917774,1221,0
3600,7200,10799.9,1000,506,491,220,221,22278.30247492358,2226,227
3600,10800,14399.9,1000,506,493,238,239,32588.47133952685,3167,243
3600,14400,17999.9,1000,506,492,234,235,43442.367803224435,4137,234
3600,18000,21599.9,1000,506,500,0,218,53262.40456501069,5110,0
3600,21600,25199.9,1000,506,485,0,233,65460.502616535174,5989,0
3600,25200,28799.9,1000,506,501,217,218,73736.81139526164,6989,222
3600,28800,32399.9,1000,506,500,9,224,84273.39129238192,7847,16
3600,32400,35999.9,1000,506,521,211,212,90795.47047307617,8730,215
3600,0,3599.9,1100,506,479,170,171,1918.5692361148137,394,172
3600,3600,7199.9,1100,506,523,192,193,11548.513713054537,1416,194
3600,7200,10799.9,1100,506,491,184,185,23224.259208194937,2411,184
3600,10800,14399.9,1100,506,493,184,185,33567.826907147326,3354,186
3600,14400,17999.9,1100,506,492,187,188,44416.56625938494,4325,187
3600,18000,21599.9,1100,506,500,171,172,54191.40640302916,5283,172
3600,21600,25199.9,1100,506,485,190,191,66433.97126895131,6183,193
3600,25200,28799.9,1100,506,501,174,175,74679.87681599648,7163,173
3600,28800,32399.9,1100,506,500,176,177,85212.9820509485,8026,178
3600,32400,35999.9,1100,506,521,171,172,91697.18002672067,8901,170
3600,0,3599.9,1200,506,479,142,143,2877.8538541722187,537,142
3600,3600,7199.9,1200,506,523,162,163,12490.5806531913,1580,163
3600,7200,10799.9,1200,506,491,145,146,24170.215941466296,2557,145
3600,10800,14399.9,1200,506,493,1,161,34547.182474767775,3515,0
3600,14400,17999.9,1200,506,492,155,156,45390.76471554545,4480,154
3600,18000,21599.9,1200,506,500,134,135,55120.40824104764,5418,134
3600,21600,25199.9,1200,506,485,156,157,67407.43992136746,6341,157
3600,25200,28799.9,1200,506,501,134,135,75622.94223673132,7297,133
3600,28800,32399.9,1200,506,500,145,146,86152.57280951508,8173,146
3600,32400,35999.9,1200,506,521,142,143,92598.88958036518,9043,141
3600,0,3599.9,1300,506,479,115,116,3837.138472229621,652,114
3600,3600,7199.9,1300,506,523,124,125,13432.647593328064,1704,123
3600,7200,10799.9,1300,506,491,0,117,25116.172674737656,2673,0
3600,10800,14399.9,1300,506,493,117,118,35526.5380423882,3632,116
3600,14400,17999.9,1300,506,492,120,121,46364.96317170595,4600,119
3600,18000,21599.9,1300,506,500,103,104,56049.41007906612,5521,102
3600,21600,25199.9,1300,506,485,127,128,68380.9085737836,6468,126
3600,25200,28799.9,1300,506,501,0,105,76566.00765746618,7401,0
3600,28800,32399.9,1300,506,500,0,113,87092.16356808168,8285,0
3600,32400,35999.9,1300,506,521,107,108,93500.59913400968,9150,106
3600,0,3599.9,1400,506,479,97,98,4796.42309028702,749,96
3600,3600,7199.9,1400,506,523,0,98,14374.714533464827,1801,0
3600,7200,10799.9,1400,506,491,0,84,26062.129408009012,2756,0
3600,10800,14399.9,1400,506,493,93,94,36505.89361000862,3725,92
3600,14400,17999.9,1400,506,492,100,101,47339.16162786646,4700,99
3600,18000,21599.9,1400,506,500,77,78,56978.411917084595,5598,76
3600,21600,25199.9,1400,506,485,94,95,69354.37722619975,6562,93
3600,25200,28799.9,1400,506,501,71,72,77509.07307820102,7472,70
3600,28800,32399.9,1400,506,500,73,74,88031.75432664827,8358,72
3600,32400,35999.9,1400,506,521,82,83,94402.3086876542,9232,81
3600,0,3599.9,1500,506,479,0,77,5755.707708344424,825,0
3600,3600,7199.9,1500,506,523,0,70,15316.78147360159,1870,0
3600,7200,10799.9,1500,506,491,0,58,27008.08614128037,2813,0
3600,10800,14399.9,1500,506,493,64,65,37485.24917762904,3789,63
3600,14400,17999.9,1500,506,492,74,75,48313.360084026965,4774,73
3600,18000,21599.9,1500,506,500,0,54,57907.41375510307,5651,0
3600,21600,25199.9,1500,506,485,72,73,70327.84587861592,6634,71
3600,25200,28799.9,1500,506,501,52,53,78452.13849893588,7524,51
3600,28800,32399.9,1500,506,500,0,54,88971.34508521485,8411,0
3600,32400,35999.9,1500,506,521,68,69,95304.01824129869,9300,67
3600,0,3599.9,1600,506,479,55,56,6714.992326401826,880,54
3600,3600,7199.9,1600,506,523,0,49,16258.848413738346,1918,0
3600,7200,10799.9,1600,506,491,43,44,27954.042874551727,2856,42
3600,10800,14399.9,1600,506,493,46,47,38464.60474524946,3835,45
3600,14400,17999.9,1600,506,492,51,52,49287.55854018746,4825,50
3600,18000,21599.9,1600,506,500,45,46,58836.41559312155,5696,44
3600,21600,25199.9,1600,506,485,0,53,71301.31453103208,6686,0
3600,25200,28799.9,1600,506,501,0,42,79395.20391967072,7565,0
3600,28800,32399.9,1600,506,500,39,40,89910.93584378144,8450,38
3600,32400,35999.9,1600,506,521,52,53,96205.72779494319,9352,51
3600,0,3599.9,1700,506,479,40,41,7674.2769444592295,920,39
3600,3600,7199.9,1700,506,523,33,34,17200.915353875098,1951,32
3600,7200,10799.9,1700,506,491,31,32,28899.999607823087,2887,30
3600,10800,14399.9,1700,506,493,0,31,39443.96031286988,3865,0
3600,14400,17999.9,1700,506,492,38,39,50261.75699634797,4863,37
3600,18000,21599.9,1700,506,500,0,26,59765.41743114003,5721,0
3600,21600,25199.9,1700,506,485,0,38,72274.78318344825,6723,0
3600,25200,28799.9,1700,506,501,22,23,80338.26934040556,7587,21
3600,28800,32399.9,1700,506,500,27,28,90850.52660234804,8477,26
3600,32400,35999.9,1700,506,521,37,38,97107.4373485877,9389,36
