Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
7200,0,3599.9,28743.581163470684,20,20,0,10,28743.581163470684,10,0
7200,3600,7199.9,31147.86507712352,20,20,8,8,31147.86507712352,8,8
7200,7200,10799.9,51953.43450185876,20,20,10,11,51953.43450185876,11,10
7200,10800,14399.9,57678.793699446345,20,20,5,8,57678.793699446345,8,5
7200,14400,17999.9,54027.5477777233,20,20,9,11,54027.5477777233,11,9
7200,18000,21599.9,56018.38491688252,20,20,10,10,56018.38491688252,10,10
7200,21600,25199.9,60806.5720391088,20,20,9,11,60806.5720391088,11,9
7200,25200,28799.9,57768.65395980918,20,20,1,9,57768.65395980918,9,1
7200,28800,32399.9,61840.26118285106,20,20,1,10,61840.26118285106,10,1
7200,32400,35999.9,64446.96656940588,20,20,9,9,64446.96656940588,9,9
