Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,35000,20,20,0,0,35000,0,0
3600,3600,7199.9,35000,20,20,2,2,35000,2,2
3600,7200,10799.9,35000,20,20,11,11,35000,11,11
3600,10800,14399.9,35000,20,20,0,13,35000,13,0
3600,14400,17999.9,35000,20,20,0,0,35000,0,0
3600,18000,21599.9,35000,20,20,4,4,35000,4,4
3600,21600,25199.9,35000,20,20,0,7,35000,7,0
3600,25200,28799.9,35000,20,20,2,2,35000,2,2
3600,28800,32399.9,35000,20,20,0,1,35000,1,0
3600,32400,35999.9,35000,20,20,0,9,35000,9,0
