Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
600,0,599.9,5685.3444516037,20,20,5,9,5685.3444516037,9,5
600,600,1199.9,5679.191915524969,20,20,3,6,5679.191915524969,7,4
599,1200,1798.9,5488.347650194389,20,20,7,10,5488.347650194389,10,7
578,1799,2376.9,7568.014005354513,20,20,4,10,7568.014005354513,10,4
797,2377,3173.9,11076.901416874109,20,20,3,10,11076.901416874109,10,3
1166,3174,4339.9,14542.80159791963,20,20,4,9,14542.80159791963,9,4
1200,4340,5539.9,17908.476468202323,20,20,9,10,17908.476468202323,10,9
974,5540,6513.9,16659.61526601896,20,20,3,10,16659.61526601896,10,3
1047,6514,7560.9,18257.711097725612,20,20,3,9,18257.711097725612,9,3
1147,7561,8707.9,19892.6326708906,20,20,1,10,19892.6326708906,10,1
1200,8708,9907.9,21278.747738022455,20,20,7,9,21278.747738022455,9,7
1121,9908,11028.9,22320.526303932664,20,20,3,12,22320.526303932664,12,3
1175,11029,12203.9,20155.643798001438,20,20,6,9,20155.643798001438,9,6
1061,12204,13264.9,21241.67979330154,20,20,8,11,21241.67979330154,11,8
1006,13265,14270.9,18984.02353086745,20,20,2,9,18984.02353086745,9,2
1125,14271,15395.9,17391.96824688604,20,20,8,8,17391.96824688604,8,8
1030,15396,16425.9,14625.748902802448,20,20,11,12,14625.748902802448,12,11
866,16426,17291.9,9229.415762105415,20,20,9,10,9229.415762105415,10,9
546,17292,17837.9,9483.948967524799,20,20,0,8,9483.948967524799,8,0
561,17838,18398.9,11055.61158599922,20,20,5,9,11055.61158599922,9,5
481,18399,18879.9,10664.73109567975,20,20,4,10,10664.73109567975,10,4
498,18880,19377.9,9965.320670175472,20,20,10,11,9965.320670175472,11,10
465,19378,19842.9,7425.695179919545,20,20,8,10,7425.695179919545,10,8
346,19843,20188.9,7034.934213830794,20,20,2,9,7034.934213830794,9,2
365,20189,20553.9,7136.592041197441,20,20,10,10,7136.592041197441,10,10
359,20554,20912.9,7025.244060572157,20,20,0,8,7025.244060572157,8,0
364,20913,21276.9,7579.178964021266,20,20,11,13,7579.178964021266,13,11
337,21277,21613.9,4795.857529735984,20,20,6,8,4795.857529735984,9,6
300,21614,21913.9,5510.7885079800835,20,20,1,10,5510.7885079800835,10,1
344,21914,22257.9,6040.695652142358,20,20,6,9,6040.695652142358,9,6
313,22258,22570.9,5973.665185014388,20,20,1,9,5973.665185014388,9,1
316,22571,22886.9,5484.6471633141755,20,20,2,10,5484.6471633141755,10,2
344,22887,23230.9,5568.5795934581965,20,20,7,9,5568.5795934581965,9,7
338,23231,23568.9,6228.421811829694,20,20,6,10,6228.421811829694,10,6
302,23569,23870.9,6045.720749659365,20,20,8,9,6045.720749659365,9,8
300,23871,24170.9,6179.7808883606795,20,20,10,11,6179.7808883606795,11,10
300,24171,24470.9,5603.68689172536,20,20,4,10,5603.68689172536,10,4
330,24471,24800.9,5860.65886527518,20,20,2,11,5860.65886527518,11,2
345,24801,25145.9,5959.215612312517,20,20,5,8,5959.215612312517,8,5
339,25146,25484.9,6628.715041679922,20,20,4,11,6628.715041679922,11,4
377,25485,25861.9,6387.863540384811,20,20,9,9,6387.863540384811,9,9
363,25862,26224.9,6683.750856775744,20,20,7,11,6683.750856775744,11,7
346,26225,26570.9,6326.530861196819,20,20,0,8,6326.530861196819,8,0
365,26571,26935.9,7110.192018831587,20,20,1,10,7110.192018831587,10,1
410,26936,27345.9,5383.969386771036,20,20,10,10,5383.969386771036,10,10
310,27346,27655.9,4721.453464111134,20,20,8,8,4721.453464111134,8,8
300,27656,27955.9,5713.651380537259,20,20,1,10,5713.651380537259,10,1
363,27956,28318.9,6174.1894003456355,20,20,1,9,6174.1894003456355,9,1
392,28319,28710.9,7236.193744773182,20,20,1,9,7236.193744773182,9,1
459,28711,29169.9,8183.650621801646,20,20,3,10,8183.650621801646,10,3
519,29170,29688.9,8975.0215851841,20,20,7,9,8975.0215851841,9,7
473,29689,30161.9,9136.922390128824,20,20,3,10,9136.922390128824,10,3
481,30162,30642.9,9055.916734500894,20,20,4,8,9055.916734500894,8,4
476,30643,31118.9,9900.829116899786,20,20,6,11,9900.829116899786,11,6
435,31119,31553.9,7818.472059114266,20,20,1,9,7818.472059114266,9,1
550,31554,32103.9,7896.857364352452,20,20,4,10,7896.857364352452,10,4
555,32104,32658.9,7998.7115195908755,20,20,3,10,7998.7115195908755,10,3
562,32659,33220.9,9439.653934259853,20,20,9,10,9439.653934259853,10,9
476,33221,33696.9,9086.700959354155,20,20,9,9,9086.700959354155,9,9
458,33697,34154.9,9376.053197021005,20,20,10,10,9376.053197021005,10,10
443,34155,34597.9,8740.299793377842,20,20,6,9,8740.299793377842,9,6
412,34598,35009.9,8628.569866856846,20,20,11,11,8628.569866856846,11,11
406,35010,35415.9,7661.96642396648,20,20,1,9,7661.96642396648,9,1
457,35416,35872.9,8492.411376144955,20,20,4,11,8492.411376144955,11,4
506,35873,36378.9,4605.132676257912,20,20,8,9,4605.132676257912,11,10
