Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,32442.488929229312,20,20,0,12,32442.488929229312,12,0
3600,3600,7199.9,30873.12776174349,20,20,0,7,30873.12776174349,7,0
3600,7200,10799.9,34572.953099104474,20,20,0,12,34572.953099104474,12,0
3600,10800,14399.9,31020.823709986114,20,20,10,10,31020.823709986114,10,10
3600,14400,17999.9,32882.041707236596,20,20,0,12,32882.041707236596,12,0
3600,18000,21599.9,34353.21330856969,20,20,0,7,34353.21330856969,7,0
3600,21600,25199.9,31835.511358800555,20,20,11,11,31835.511358800555,11,11
3600,28800,32399.9,28552.896342257736,20,20,0,12,28552.896342257736,12,0
3600,25200,28799.9,32026.33582076644,20,20,10,10,32026.33582076644,10,10
3600,32400,35999.9,30901.397158490923,20,20,10,10,30901.397158490923,10,10
