Timeslot,Begin,End,Distance,Total node,Node received coin
1800,0,1800,2000,104,0
1800,1800,3600,2000,111,0
1800,3600,5400,2000,116,0
1800,5400,7200,2000,111,4
1800,7200,9000,2000,113,0
3600,0,3600,2000,209,3
3600,3600,7200,2000,221,7
3600,7200,10800,2000,219,0
3600,10800,14400,2000,222,2
3600,14400,18000,2000,220,2
5400,0,5400,2000,321,6
5400,5400,10800,2000,323,0
5400,10800,16200,2000,330,3
5400,16200,21600,2000,321,4
5400,21600,27000,2000,330,3
7200,0,7200,2000,426,0
7200,7200,14400,2000,433,4
7200,14400,21600,2000,431,5
7200,21600,28800,2000,433,3
9000,0,9000,2000,532,10
9000,9000,18000,2000,538,7
9000,18000,27000,2000,542,6
9000,27000,32000,2000,297,2
9000,0,1000,2000,234,0
