Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,199,0,36000,209
3600,3600,7199.9,1000,201,83,36000,209
3600,7200,10799.9,1000,211,108,36000,209
3600,10800,14399.9,1000,199,91,36000,209
3600,14400,17999.9,1000,208,89,36000,209
3600,18000,21599.9,1000,203,93,36000,209
3600,21600,25199.9,1000,203,0,36000,209
3600,25200,28799.9,1000,201,99,36000,209
3600,28800,32399.9,1000,205,0,36000,209
3600,32400,35999.9,1000,202,101,36000,209
3600,0,3599.9,1500,199,36,36000,209
3600,3600,7199.9,1500,201,33,36000,209
3600,7200,10799.9,1500,211,33,36000,209
3600,10800,14399.9,1500,199,0,36000,209
3600,14400,17999.9,1500,208,24,36000,209
3600,18000,21599.9,1500,203,23,36000,209
3600,21600,25199.9,1500,203,19,36000,209
3600,25200,28799.9,1500,201,30,36000,209
3600,28800,32399.9,1500,205,27,36000,209
3600,32400,35999.9,1500,202,0,36000,209
3600,0,3599.9,2000,199,0,36000,209
3600,3600,7199.9,2000,201,0,36000,209
3600,7200,10799.9,2000,211,0,36000,209
3600,10800,14399.9,2000,199,2,36000,209
3600,14400,17999.9,2000,208,0,36000,209
3600,18000,21599.9,2000,203,1,36000,209
3600,21600,25199.9,2000,203,4,36000,209
3600,25200,28799.9,2000,201,4,36000,209
3600,28800,32399.9,2000,205,2,36000,209
3600,32400,35999.9,2000,202,0,36000,209
