Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,20000,20,20,20,20,20000,20,20
3600,3600,7199.9,20000,20,20,20,20,20000,20,20
3600,7200,10799.9,20000,20,20,20,20,20000,20,20
3600,10800,14399.9,20000,20,20,20,20,20000,21,21
3600,14400,17999.9,20000,20,20,10,10,20000,10,10
3600,18000,21599.9,20000,20,20,20,20,20000,20,20
3600,21600,25199.9,20000,20,20,20,20,20000,20,20
3600,25200,28799.9,20000,20,20,20,20,20000,20,20
3600,28800,32399.9,20000,20,20,20,20,20000,20,20
3600,32400,35999.9,20000,20,20,20,20,20000,20,20
