Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,490,463,201,202,966.3678588567587,214,213
3600,3600,7199.9,1000,490,494,233,234,10928.128074980224,1202,240
3600,7200,10799.9,1000,490,478,210,211,22203.10283612325,2209,215
3600,10800,14399.9,1000,490,478,5,234,32534.110334224733,3105,8
3600,14400,17999.9,1000,490,480,222,223,43177.63162519483,4067,223
3600,18000,21599.9,1000,490,480,0,222,53846.52019120699,5017,0
3600,21600,25199.9,1000,490,465,216,217,66309.05142697443,5879,221
3600,25200,28799.9,1000,490,478,216,217,74932.67096306637,6807,221
3600,28800,32399.9,1000,490,493,216,217,82708.90892592809,7673,224
3600,32400,35999.9,1000,490,496,211,212,92435.60148636968,8552,216
3600,0,3599.9,1100,490,463,168,169,1932.7357177135184,385,170
3600,3600,7199.9,1100,490,494,192,193,11893.277394580959,1397,194
3600,7200,10799.9,1100,490,478,180,181,23137.72678549366,2390,180
3600,10800,14399.9,1100,490,478,179,180,33518.878338622126,3286,180
3600,14400,17999.9,1100,490,480,0,178,44150.0636654339,4246,0
3600,18000,21599.9,1100,490,480,168,169,54791.08835482844,5187,169
3600,21600,25199.9,1100,490,465,182,183,67284.21709661056,6065,185
3600,25200,28799.9,1100,490,478,170,171,75873.23046723987,6977,169
3600,28800,32399.9,1100,490,493,180,181,83645.6248492292,7854,180
3600,32400,35999.9,1100,490,496,167,168,93352.0465163743,8720,167
3600,0,3599.9,1200,490,463,139,140,2899.10357657028,525,139
3600,3600,7199.9,1200,490,494,156,157,12858.426714181693,1555,157
3600,7200,10799.9,1200,490,478,141,142,24072.35073486407,2532,141
3600,10800,14399.9,1200,490,478,0,156,34503.646343019514,3442,0
3600,14400,17999.9,1200,490,480,0,148,45122.495705672976,4393,0
3600,18000,21599.9,1200,490,480,134,135,55735.65651844989,5322,134
3600,21600,25199.9,1200,490,465,146,147,68259.3827662467,6213,147
3600,25200,28799.9,1200,490,478,0,134,76813.78997141338,7110,0
3600,28800,32399.9,1200,490,493,0,150,84582.34077253033,8003,0
