Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,84,43,36000,91
3600,3600,7199.9,1000,88,35,36000,91
3600,7200,10799.9,1000,88,41,36000,91
3600,10800,14399.9,1000,90,51,36000,91
3600,14400,17999.9,1000,90,0,36000,91
3600,18000,21599.9,1000,90,0,36000,91
3600,21600,25199.9,1000,86,33,36000,91
3600,25200,28799.9,1000,89,46,36000,91
3600,28800,32399.9,1000,88,40,36000,91
3600,32400,35999.9,1000,89,33,36000,91
3600,0,3599.9,1500,84,0,36000,91
3600,3600,7199.9,1500,88,13,36000,91
3600,7200,10799.9,1500,88,13,36000,91
3600,10800,14399.9,1500,90,0,36000,91
3600,14400,17999.9,1500,90,16,36000,91
3600,18000,21599.9,1500,90,0,36000,91
3600,21600,25199.9,1500,86,9,36000,91
3600,25200,28799.9,1500,89,14,36000,91
3600,28800,32399.9,1500,88,0,36000,91
3600,32400,35999.9,1500,89,9,36000,91
3600,0,3599.9,2000,84,0,36000,91
3600,3600,7199.9,2000,88,2,36000,91
3600,7200,10799.9,2000,88,2,36000,91
3600,10800,14399.9,2000,90,0,36000,91
3600,14400,17999.9,2000,90,0,36000,91
3600,18000,21599.9,2000,90,0,36000,91
3600,21600,25199.9,2000,86,0,36000,91
3600,25200,28799.9,2000,89,0,36000,91
3600,28800,32399.9,2000,88,2,36000,91
3600,32400,35999.9,2000,89,0,36000,91
